(cracker, heineken, soda),234
(baguette, heineken, hering),214
(corned_b, hering, olives),202
(artichok, avocado, heineken),199
(cracker, heineken, hering),163
(bourbon, cracker, heineken),151
(heineken, hering, soda),149
(baguette, cracker, heineken),145
(artichok, cracker, heineken),144
(avocado, cracker, heineken),143
(cracker, hering, soda),141
(cracker, heineken, olives),140
(coke, heineken, ice_crea),139
(baguette, heineken, soda),138
(bourbon, cracker, soda),136
(avocado, baguette, heineken),135
(avocado, heineken, hering),134
(bourbon, heineken, olives),133
(coke, ice_crea, sardines),132
(bourbon, cracker, olives),131
(artichok, heineken, hering),130
(baguette, hering, soda),129
(baguette, cracker, hering),128
(avocado, baguette, hering),128
(bourbon, olives, turkey),127
(heineken, olives, soda),127
(baguette, cracker, soda),127
(cracker, olives, soda),126
(cracker, ham, heineken),126
(bourbon, olives, soda),124
(bourbon, heineken, soda),124
(heineken, ice_crea, sardines),123
(corned_b, ham, hering),123
(artichok, baguette, heineken),123
(corned_b, ham, olives),123
(chicken, coke, ice_crea),123
(corned_b, olives, turkey),122
(hering, olives, turkey),122
(ham, olives, turkey),121
(ham, hering, olives),121
(coke, heineken, sardines),120
(chicken, heineken, ice_crea),119
(chicken, heineken, sardines),119
(chicken, coke, heineken),118
(bourbon, cracker, peppers),117
(artichok, avocado, hering),117
(avocado, ham, heineken),117
(chicken, coke, sardines),117
(bourbon, coke, ice_crea),117
(chicken, ice_crea, sardines),116
(apples, corned_b, olives),116
(hering, olives, steak),116
(artichok, baguette, hering),116
(coke, ice_crea, olives),114
(apples, hering, olives),114
(artichok, ham, heineken),113
(corned_b, hering, steak),113
(corned_b, hering, turkey),113
(bourbon, chicken, cracker),113
(artichok, avocado, cracker),113
(artichok, avocado, ham),113
(apples, corned_b, hering),113
(artichok, avocado, baguette),112
(bourbon, corned_b, cracker),112
(apples, avocado, baguette),112
(ice_crea, olives, turkey),111
(corned_b, olives, steak),111
(bourbon, coke, olives),109
(bourbon, ice_crea, olives),108
(coke, ice_crea, turkey),106
(ham, hering, turkey),106
(corned_b, ham, turkey),105
(avocado, cracker, ham),105
(coke, olives, turkey),105
(corned_b, cracker, peppers),102
(apples, corned_b, steak),102
(avocado, baguette, peppers),102
(artichok, cracker, ham),101
(avocado, baguette, sardines),101
(bourbon, chicken, peppers),101
(chicken, corned_b, cracker),101
(apples, olives, steak),99
(chicken, cracker, peppers),99
(apples, hering, steak),99
(bourbon, ice_crea, turkey),99
